menu_name,karbo,protein,sayur,bahan,energy_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sodium_mg
"Rujak lontong + Ayam goreng pasundan, dada + Gado-gado",Rujak lontong,"Ayam goreng pasundan, dada",Gado-gado,"Rujak lontong, Ayam goreng pasundan, dada, Gado-gado",626.0,56.0,46.4,24.5,1.1,278.0
"Jagung muda,rebus + Ikan Mujahir / mujair goreng + brokoli , matang","Jagung muda,rebus",Ikan Mujahir / mujair goreng,"brokoli , matang","Jagung muda,rebus, Ikan Mujahir / mujair goreng, brokoli , matang",581.2,55.1,32.2,24.8,3.8,74.0
"Rujak lontong + Ayam goreng sukabumi, dada + Gado-gado",Rujak lontong,"Ayam goreng sukabumi, dada",Gado-gado,"Rujak lontong, Ayam goreng sukabumi, dada, Gado-gado",624.0,54.8,46.7,24.7,1.1,278.0
"Nasi rames + Ayam goreng pasundan, dada + Gado-gado",Nasi rames,"Ayam goreng pasundan, dada",Gado-gado,"Nasi rames, Ayam goreng pasundan, dada, Gado-gado",538.0,54.3,40.8,16.4,1.1,265.0
"Nasi rames + Ayam goreng poineer, dada + Gado-gado",Nasi rames,"Ayam goreng poineer, dada",Gado-gado,"Nasi rames, Ayam goreng poineer, dada, Gado-gado",587.0,53.8,40.7,22.1,1.1,265.0
"Nasi rames + Ayam goreng kalasan, paha + Gado-gado",Nasi rames,"Ayam goreng kalasan, paha",Gado-gado,"Nasi rames, Ayam goreng kalasan, paha, Gado-gado",567.0,53.8,41.4,19.6,1.1,441.0
"Jagung muda,rebus + Ikan Mujahir / mujair goreng + Kangkung tondano","Jagung muda,rebus",Ikan Mujahir / mujair goreng,Kangkung tondano,"Jagung muda,rebus, Ikan Mujahir / mujair goreng, Kangkung tondano",601.0,53.7,38.7,24.8,5.1,89.0
"Nasi tim + Ikan Mujahir / mujair goreng + brokoli , matang",Nasi tim,Ikan Mujahir / mujair goreng,"brokoli , matang","Nasi tim, Ikan Mujahir / mujair goreng, brokoli , matang",559.2,53.5,27.9,24.5,3.5,69.0
"Nasi / Nasi Putih + Ikan Mujahir / mujair goreng + brokoli , matang",Nasi / Nasi Putih,Ikan Mujahir / mujair goreng,"brokoli , matang","Nasi / Nasi Putih, Ikan Mujahir / mujair goreng, brokoli , matang",619.2,53.1,41.7,24.4,3.2,70.0
"Rujak lontong + Ayam goreng pasundan, dada + brokoli , matang",Rujak lontong,"Ayam goreng pasundan, dada","brokoli , matang","Rujak lontong, Ayam goreng pasundan, dada, brokoli , matang",512.2,53.1,27.3,21.5,3.0,293.0
"Nasi rames + Ayam goreng sukabumi, dada + Gado-gado",Nasi rames,"Ayam goreng sukabumi, dada",Gado-gado,"Nasi rames, Ayam goreng sukabumi, dada, Gado-gado",536.0,53.1,41.1,16.6,1.1,265.0
"lontong + Ikan Mujahir / mujair goreng + brokoli , matang",lontong,Ikan Mujahir / mujair goreng,"brokoli , matang","lontong, Ikan Mujahir / mujair goreng, brokoli , matang",583.2,52.9,33.7,24.3,4.2,69.0
"Nasi merah + Ikan Mujahir / mujair goreng + brokoli , matang",Nasi merah,Ikan Mujahir / mujair goreng,"brokoli , matang","Nasi merah, Ikan Mujahir / mujair goreng, brokoli , matang",588.2,52.9,34.4,24.5,3.3,74.0
"Rujak lontong + Ayam goreng kalasan, paha + brokoli , matang",Rujak lontong,"Ayam goreng kalasan, paha","brokoli , matang","Rujak lontong, Ayam goreng kalasan, paha, brokoli , matang",541.2,52.6,27.9,24.7,3.0,469.0
Nasi tim + Ikan Mujahir / mujair goreng + Sayur lebui,Nasi tim,Ikan Mujahir / mujair goreng,Sayur lebui,"Nasi tim, Ikan Mujahir / mujair goreng, Sayur lebui",600.0,52.4,38.5,24.9,6.2,178.0
"Nasi coklat + Ikan Mujahir / mujair goreng + brokoli , matang",Nasi coklat,Ikan Mujahir / mujair goreng,"brokoli , matang","Nasi coklat, Ikan Mujahir / mujair goreng, brokoli , matang",551.2,52.4,25.4,24.9,3.0,69.0
Nasi tim + Ikan Mujahir / mujair goreng + Kangkung tondano,Nasi tim,Ikan Mujahir / mujair goreng,Kangkung tondano,"Nasi tim, Ikan Mujahir / mujair goreng, Kangkung tondano",579.0,52.1,34.4,24.5,4.8,84.0
"Rujak lontong + Ayam goreng pasundan, dada + Karedok,sayur",Rujak lontong,"Ayam goreng pasundan, dada","Karedok,sayur","Rujak lontong, Ayam goreng pasundan, dada, Karedok,sayur",581.0,52.1,39.5,24.6,1.4,278.0
"Nasi rames + Ayam goreng sukabumi, paha + Gado-gado",Nasi rames,"Ayam goreng sukabumi, paha",Gado-gado,"Nasi rames, Ayam goreng sukabumi, paha, Gado-gado",575.0,52.1,40.6,21.7,1.1,265.0
"Ubi Cilembu + Ikan Mujahir / mujair goreng + brokoli , matang",Ubi Cilembu,Ikan Mujahir / mujair goreng,"brokoli , matang","Ubi Cilembu, Ikan Mujahir / mujair goreng, brokoli , matang",625.2,52.0,46.2,24.3,6.4,70.0
Nasi / Nasi Putih + Ikan Mujahir / mujair goreng + Sayur lebui,Nasi / Nasi Putih,Ikan Mujahir / mujair goreng,Sayur lebui,"Nasi / Nasi Putih, Ikan Mujahir / mujair goreng, Sayur lebui",660.0,52.0,52.3,24.8,5.9,179.0
"Rujak lontong + Ayam goreng pasundan, dada + Sayur lebui",Rujak lontong,"Ayam goreng pasundan, dada",Sayur lebui,"Rujak lontong, Ayam goreng pasundan, dada, Sayur lebui",553.0,52.0,37.9,21.9,5.7,402.0
"Rujak lontong + Ayam goreng sukabumi, dada + brokoli , matang",Rujak lontong,"Ayam goreng sukabumi, dada","brokoli , matang","Rujak lontong, Ayam goreng sukabumi, dada, brokoli , matang",510.2,51.9,27.6,21.7,3.0,293.0
lontong + Ikan Mujahir / mujair goreng + Sayur lebui,lontong,Ikan Mujahir / mujair goreng,Sayur lebui,"lontong, Ikan Mujahir / mujair goreng, Sayur lebui",624.0,51.8,44.3,24.7,6.9,178.0
Nasi merah + Ikan Mujahir / mujair goreng + Sayur lebui,Nasi merah,Ikan Mujahir / mujair goreng,Sayur lebui,"Nasi merah, Ikan Mujahir / mujair goreng, Sayur lebui",629.0,51.8,45.0,24.9,6.0,183.0
Nasi / Nasi Putih + Ikan Mujahir / mujair goreng + Kangkung tondano,Nasi / Nasi Putih,Ikan Mujahir / mujair goreng,Kangkung tondano,"Nasi / Nasi Putih, Ikan Mujahir / mujair goreng, Kangkung tondano",639.0,51.7,48.2,24.4,4.5,85.0
"Rujak lontong + Ayam goreng pasundan, dada + Kangkung tondano",Rujak lontong,"Ayam goreng pasundan, dada",Kangkung tondano,"Rujak lontong, Ayam goreng pasundan, dada, Kangkung tondano",532.0,51.7,33.8,21.5,4.3,308.0
"Nasi rames + Ayam goreng pasundan, dada + Anyang, sayur",Nasi rames,"Ayam goreng pasundan, dada","Anyang, sayur","Nasi rames, Ayam goreng pasundan, dada, Anyang, sayur",527.0,51.6,30.1,21.1,5.4,555.0
lontong + Ikan Mujahir / mujair goreng + Kangkung tondano,lontong,Ikan Mujahir / mujair goreng,Kangkung tondano,"lontong, Ikan Mujahir / mujair goreng, Kangkung tondano",603.0,51.5,40.2,24.3,5.5,84.0
"Tapai singkong + Ikan Mujahir / mujair goreng + brokoli , matang",Tapai singkong,Ikan Mujahir / mujair goreng,"brokoli , matang","Tapai singkong, Ikan Mujahir / mujair goreng, brokoli , matang",608.2,51.5,42.1,24.4,5.0,69.0
Nasi merah + Ikan Mujahir / mujair goreng + Kangkung tondano,Nasi merah,Ikan Mujahir / mujair goreng,Kangkung tondano,"Nasi merah, Ikan Mujahir / mujair goreng, Kangkung tondano",608.0,51.5,40.9,24.5,4.6,89.0
Nasi tim + Ikan Mujahir / mujair goreng + Wortel kukus,Nasi tim,Ikan Mujahir / mujair goreng,Wortel kukus,"Nasi tim, Ikan Mujahir / mujair goreng, Wortel kukus",573.0,51.3,34.3,24.9,1.6,97.0
"Rujak lontong + Ayam goreng kalasan, paha + Kangkung tondano",Rujak lontong,"Ayam goreng kalasan, paha",Kangkung tondano,"Rujak lontong, Ayam goreng kalasan, paha, Kangkung tondano",561.0,51.2,34.4,24.7,4.3,484.0
"Nasi rames + Ayam goreng kalasan, paha + Anyang, sayur",Nasi rames,"Ayam goreng kalasan, paha","Anyang, sayur","Nasi rames, Ayam goreng kalasan, paha, Anyang, sayur",556.0,51.1,30.7,24.3,5.4,731.0
Nasi coklat + Ikan Mujahir / mujair goreng + Kangkung tondano,Nasi coklat,Ikan Mujahir / mujair goreng,Kangkung tondano,"Nasi coklat, Ikan Mujahir / mujair goreng, Kangkung tondano",571.0,51.0,31.9,24.9,4.3,84.0
"Ubi jalar tinta / kemayung kukus + Ikan Mujahir / mujair goreng + brokoli , matang",Ubi jalar tinta / kemayung kukus,Ikan Mujahir / mujair goreng,"brokoli , matang","Ubi jalar tinta / kemayung kukus, Ikan Mujahir / mujair goreng, brokoli , matang",604.2,51.0,41.7,24.3,4.1,70.0
